Id,Text
1,The Lok Sabha is elected for a term of five years.
2,Its life can be extended for one year at a time during a national emergency.
3,It can be dissolved earlier than its term by the President on the advice of the Prime Minister.
4,It can be voted out of power by a debate and vote on a no-confidence motion.
5,"During the 13th Lok Sabha, Bhartiya Janata Party lost a no-confidence motion by one vote and had to resign."
6,"The House may have not more than 552 members; 530 elected from the states, 20 from Union Territories and not more than 2 members nominated from the Anglo-Indian Community."
7,"At present, the strength of the Lok Sabha is 545."
