,Group 2,Group 3,Group 4
0,0.743718587971011,0.6766169104259797,0.6137566087970662
1,0.761363631415935,0.7939698442493877,0.8223350203818702
2,0.7030302982303032,0.8248587521325291,0.8756756707003653
3,0.7735849006603776,0.7472527423886004,0.8214285664429211
4,0.6356589097361937,0.8285714235806123,0.6616541303386286
5,0.7411764657051904,0.6666666616811193,0.6545454497219467
6,0.5483870919412649,0.6599999950500001,0.735426003969515
7,0.6575342416691687,0.6849315019431415,0.6040268407026711
8,0.6595744632684474,0.6310679562032239,0.7692307642603551
9,0.5813953441353436,0.6779660969134029,0.6764705832473088
