,Group 2,Group 3,Group 4
0,0.6402877648154859,0.5821917758256708,0.4714828848328008
1,0.6475409787547031,0.7448275812078479,0.7394366147185578
2,0.6283185793562535,0.7346938726530614,0.7480314911153825
3,0.7151515101663912,0.5655172365793104,0.780219775229441
4,0.5384615334711992,0.7586206846756777,0.5502645452646904
5,0.6877470306688123,0.5851851802074075,0.5702479290649546
6,0.4060150328834304,0.5374149610613633,0.6290801136965194
7,0.5384615335798818,0.5445544506224881,0.49999999511834325
8,0.5303030255787994,0.5129870080040901,0.6378737491873159
9,0.4564315308345243,0.5179282822526627,0.5503355655022297
