,Group 1,Group 2,Group 3,Group 4
0,46.13,33.40,35.25,37.09
1,41.45,32.69,37.11,38.40
2,38.27,28.01,37.68,44.35
3,33.60,30.36,34.41,36.56
4,34.60,34.58,36.50,38.87
5,40.04,34.64,40.04,42.04
6,49.12,33.77,45.60,49.99
7,40.01,33.29,35.11,37.10
8,40.52,38.23,39.44,39.91
9,45.09,40.77,37.38,42.13
avg,40.88,33.98,37.85,40.64
