,Group 1,Group 2,Group 3,Group 4
0,0.4179104428157719,0.3643410804038219,0.5791245741250893,0.6249999950008657
1,0.41471571407299695,0.3286384932398775,0.6014492703688827,0.6962962913138546
2,0.5869565167401808,0.43062200514640236,0.7325102831817643,0.8425196800917603
3,0.39106144751786776,0.42666666179466667,0.41958041481539443,0.7499999950063776
4,0.3274336234454539,0.38918918419284154,0.6363636313717987,0.4516128982281189
5,0.3706070237858915,0.467213109916689,0.6159695767942287,0.7862595370339724
6,0.5198938942819552,0.1692307645931954,0.6771159824667604,0.7770700587072499
7,0.36363635867768596,0.3720930183234181,0.4372092973931856,0.7387387337716096
8,0.30769230271767284,0.3802281321690353,0.5382059751009372,0.6137184067088064
9,0.33033032533578627,0.2741935438322711,0.561151074261943,0.46779660521137606
